id	era	border	name	set	number	released	lang
e52ed647-bd30-40a5-b648-0b98d1a3fd4a	1998-2002	black	Plains	ons	332	2002-10-07	en
2511d12b-77eb-4ed8-8bb2-71c94d496dae	1998-2002	black	Skittering Skirge	pal99	4	1999-01-01	en
401f8b6a-415a-4b73-bfd9-5081c5fcefb3	1998-2002	black	Mana Breach	7ed	85★	2001-04-11	en
8bcda003-6fac-4879-87e6-ec0c115630ba	1998-2002	black	Flowstone Flood	exo	83	1998-06-15	en
a578599c-7d90-4881-b59a-9cf64b90d917	1998-2002	black	Power Matrix	mmq	309	1999-10-04	en
5f12ac0c-cfe6-4f08-b6df-20be4ce83e8c	1998-2002	black	Sunken Hope	pls	37	2001-02-05	en
10f82f2e-a6db-491b-b253-82c34cd6c940	1998-2002	black	Rackling	nem	136	2000-02-14	en
d3ab8065-cecc-4b19-be93-7cf791a93e62	1998-2002	black	Parch	ulg	86	1999-02-15	en
7a562ea7-5347-4ccc-a1c4-4a7569c80b4a	1998-2002	gold	Temporal Aperture	wc99	kb310	1999-08-04	en
9d12fcc7-93e4-4bc6-be4e-b383b0e75f7e	1998-2002	gold	Forest	wc02	shh347	2002-12-01	en
8be7836e-adcb-435a-b65a-6675a5606f99	1998-2002	gold	Salt Marsh	wc02	cr326	2002-12-01	en
7237eb04-8d3b-4ec0-be98-1df169917b42	1998-2002	gold	Karplusan Forest	wc98	bs356	1998-08-12	en
4968c2db-f817-4156-9942-bc1b25ff6182	1998-2002	gold	Lobotomy	wc01	ar255sb	2001-08-08	en
18b08510-9cf4-4723-96f3-d1a873d710a4	1998-2002	gold	City of Brass	wc00	nl321	2000-08-02	en
35955786-bb84-4b0d-b162-c0aae43bfc32	1998-2002	gold	Repulse	wc02	cr70	2002-12-01	en
51694451-d762-4c22-b9a1-61ce4716826b	1998-2002	gold	Cursed Scroll	wc99	js281	1999-08-04	en
dc880e76-1e92-4af1-b89f-b5a2b60b86f0	1998-2002	silver	Goblin Bookie	ugl	43	1998-08-11	en
d957abcb-ba56-42b4-9316-f30ac821ecf9	1998-2002	silver	Hurloon Wrangler	ugl	46	1998-08-11	en
9ad6b646-a2b2-4817-856c-580a5953d87e	1998-2002	silver	Common Courtesy	ugl	21	1998-08-11	en
d9b05428-d9f3-42ec-bef4-286f1ad06901	1998-2002	silver	Gus	ugl	62	1998-08-11	en
e35c66e0-0ca8-447f-b8d9-b03ce7ffaf7f	1998-2002	silver	Double Play	ugl	55	1998-08-11	en
059fc73f-7a00-4014-9e92-75765798cf2d	1998-2002	silver	Cardboard Carapace	ugl	54	1998-08-11	en
d15c6375-2e4e-47f7-88e1-d90794e7f724	1998-2002	silver	B.F.M. (Big Furry Monster)	ugl	29	1998-08-11	en
e43ce658-12be-4eb2-b679-0aefea348de2	1998-2002	silver	Timmy, Power Gamer	ugl	68	1998-08-11	en
f95c7b8b-e197-4f35-bad3-877be6825ab1	1998-2002	white	Mountain	brb	117	1999-11-12	en
da3f99fe-8d5f-4efe-af86-72031dfe562a	1998-2002	white	Verduran Enchantress	7ed	280	2001-04-11	en
2a807243-fdcd-4dfb-b9d1-a15859a15c51	1998-2002	white	Crystal Vein	6ed	322	1999-04-21	en
ee6758f0-86da-4812-bbe0-ebbb8c67937a	1998-2002	white	Pacifism	7ed	29	2001-04-11	en
9ade9b45-a1f5-4680-8d26-d2ae5879b1b6	1998-2002	white	Giant Growth	7ed	248	2001-04-11	en
a75746a8-4b9d-4a2c-b988-b26a5eadb569	1998-2002	white	Raging Goblin	btd	43	2000-10-01	en
bdff6204-0153-49b3-83e4-f4984f76dbf5	1998-2002	white	Raise Dead	s99	85	1999-07-01	en
59c92e4a-34d2-4947-9c5f-2ceb8e5ae53d	1998-2002	white	Lightning Blast	6ed	193	1999-04-21	en
ed1f6c3f-892d-4478-9534-dad50c60b727	2003-2014	black	Mox Ruby	ovnt	2008	2008-08-16	en
0ff031f4-df27-40de-8615-f3ea225f9830	2003-2014	black	Carrion Howler	rav	79	2005-10-07	en
c70ceae6-8b25-4ce2-b89b-45300401fec5	2003-2014	black	Endless Obedience	m15	94	2014-07-18	en
1f17ac75-8e49-42a3-8a31-2e2d5f65316e	2003-2014	black	I Know All, I See All	oarc	18★	2010-06-18	en
a4cd989d-e274-4058-876f-3c20f28def0d	2003-2014	black	Wolf	tcns	7	2014-06-06	en
ed37fa8e-5930-4e57-8ead-73894ac40c19	2003-2014	black	Elemental	tm14	7	2013-07-19	en
12b41371-ce65-4946-b516-9de7dba321cc	2003-2014	black	Thornweald Archer	c14	219	2014-11-07	en
f638bd96-8424-461f-87bf-4b7a7153fd35	2003-2014	black	Nim Deathmantle	som	188	2010-10-01	en
fef40a5a-f3d7-44f2-be1e-6f9e991dbf0c	2003-2014	gold	Darksteel Citadel	wc04	mb164	2004-09-01	en
b004761d-12f7-4c4c-91a1-a53f153750d6	2003-2014	gold	Wrath of God	wc03	dz58	2003-08-06	en
0cb5f2df-9a5c-4fdf-8bb3-24d4d670768b	2003-2014	gold	Decree of Justice	wc03	dz8	2003-08-06	en
861a545e-38b9-4978-ada8-deb630986039	2003-2014	gold	Plow Under	wc04	jn272	2004-09-01	en
785c69b5-51e2-4ff7-8b56-cd54ce815f23	2003-2014	gold	Ancient Den	wc04	mb278	2004-09-01	en
98f389ca-3662-4544-b0b5-9d2abd073b7b	2003-2014	gold	Mountain	wc03	pk344	2003-08-06	en
b7eb0a9d-a22a-4ec5-8b88-6a164266092f	2003-2014	gold	Furnace Dragon	wc04	mb62sb	2004-09-01	en
b1aa9c58-6771-4563-ae6e-4cf9ca67f963	2003-2014	gold	Shrapnel Blast	wc04	ap106	2004-09-01	en
b3a2f131-e0d1-4583-929f-c009aee8bc20	2003-2014	silver	Loose Lips	unh	36	2004-11-19	en
409cb48a-572a-40df-ae1a-a43feab6bdfd	2003-2014	silver	Flaccify	unh	32	2004-11-19	en
c01e8089-c3a9-413b-ae2d-39ede87516d3	2003-2014	silver	Curse of the Fire Penguin // Curse of the Fire Penguin Creature	unh	73	2004-11-19	en
d9ca4db3-9ef0-4d0b-a03b-2e8437a72ba7	2003-2014	silver	Goblin Mime	unh	78★	2004-11-19	en
0fee7b1f-e300-411a-957d-5253300c36cf	2003-2014	silver	Aesthetic Consultation	unh	48★	2004-11-19	en
d31ed653-86ca-4962-8030-c8cba979129b	2003-2014	silver	Greater Morphling	unh	34★	2004-11-19	en
f77a2e16-f729-44ec-969f-d7011c623907	2003-2014	silver	S.N.O.T.	unh	111	2004-11-19	en
4f2c83a1-b06a-4a3c-b025-f58b04caec3e	2003-2014	silver	Mana Flair	unh	81	2004-11-19	en
184f9e3f-265b-438b-8b02-f0fae6a0c745	2003-2014	white	Primal Forcemage	psal	I52	2005-08-22	es
55237cdf-2a83-4467-abc0-f7d8bdcb4b62	2003-2014	white	Plagued Rusalka	psal	F28	2005-08-22	es
1883223a-2f79-47f1-800f-24a3f0461992	2003-2014	white	Mountain	psal	I44	2005-08-22	es
17d1a10f-ce21-4914-9984-c7c559161230	2003-2014	white	Biorhythm	9ed	231	2005-07-29	en
309d32e9-c9b0-46bb-8d99-1ddd2e34a60b	2003-2014	white	Lone Wolf	8ed	262	2003-07-28	en
fbbacff5-c650-4835-b5a1-f747a5db5fd6	2003-2014	white	Daring Apprentice	8ed	73	2003-07-28	en
af3367aa-350a-4d5f-837d-d391b4206cb7	2003-2014	white	Island	psal	E8	2005-08-22	es
19a6e8cc-3989-40c4-a49c-cd30ccaba0d5	2003-2014	white	Traumatize	9ed	109	2005-07-29	en
cd36b274-5b76-44ec-8d62-069b08debe89	2015+	black	Rakka Mar	cmm	247	2023-08-04	en
c3ae5d5e-167a-4165-8a3f-37665750635d	2015+	black	Draconic Destiny	pbro	130p	2022-11-18	en
d7ae86b7-d324-4c89-a5e1-8752a65a7816	2015+	black	Arcane Signet	40k	228★	2022-10-07	en
26894980-8961-4479-85dd-5f01c899718b	2015+	black	Fountain of Renewal	m19	235	2018-07-13	en
958a4bb3-7f76-4f8a-8af6-439b09b3ee0f	2015+	black	Drake	t2x2	10	2022-07-08	en
f2d2a19b-169a-456f-9fbc-7820aa2ada20	2015+	black	Belfry Spirit	gk2	29	2019-02-15	en
d2c8bfde-c4c5-40de-83de-ff236999d79b	2015+	black	Ruthless Instincts	frf	136	2015-01-23	en
05c1fd3e-e899-4d66-8ad1-fdfbcdd70e8b	2015+	black	Sunken Hollow	clb	918	2022-06-10	en
728fd3c9-a494-49c3-adbb-20bff4ba4064	2015+	borderless	Mondo Gecko // Mondo Gecko	atmt	26	2026-03-06	en
e909bd04-5394-4888-aa4a-4f90855663bb	2015+	borderless	Snakeskin Veil	sta	120	2021-04-23	ja
63a795db-6b70-4534-b6e9-240895875d12	2015+	borderless	Kess, Dissident Mage	sld	1167	2022-12-02	en
3ff0d00d-367c-4aac-994c-9c0f74b5c54b	2015+	borderless	Rhystic Study // Rhystic Study	awoe	79	2023-09-08	en
1aae46bb-15d3-4049-9eae-86c6c5b5dcff	2015+	borderless	Heliod, Sun-Crowned	sld	214	2021-02-12	en
7a371c1b-e82f-47a9-8f7e-55f44b135084	2015+	borderless	Scion of Draco	sld	7026	2025-06-09	en
24b2833e-6c08-4f33-8481-f65f2a063c60	2015+	borderless	Bolas's Citadel	fca	7	2025-06-13	en
c84ebff2-2040-4e6b-a4e1-a604d773ab0b	2015+	gold	Stroopwafel Cafe	punk	PLA022	2024-06-28	en
6a88e7e7-a6f9-4ef2-b817-710546d3e8be	2015+	gold	The Windy City	punk	PLA009a	2025-02-21	en
894be3e2-455f-4f9b-a2a4-6dfeaf7402d2	2015+	gold	Mojave Desert	punk	PLA030	2024-10-25	en
6d241115-60b8-4fab-9877-4e2d35d638b9	2015+	gold	Deceptive Divination	pssc	1	2025-02-21	en
847b7b50-9262-4c35-be7a-00e9d2fb581e	2015+	gold	Asmoranomardicadaistinaculdacar's Kitchen	punk	PLA025	2024-10-25	en
de1a9f98-bbfc-4ae7-b919-a5f652825138	2015+	gold	Oteclán	punk	PLA018	2024-06-28	en
8ea684de-c544-444c-ab5c-5b86b0b0fc71	2015+	gold	The Command Zone	punk	PLA044	2025-02-21	en
d0ff1a68-0424-4a9d-b07e-8426a38f86a6	2015+	gold	Happy Yargle Day!	pssc	4	2025-02-21	en
