id	session	frame	era	finish	physical	name
s1-01	s1	retro	2003	foil	glowrider	Glowrider
s1-03	s1	retro	2024	foil	unholy-heat	Unholy Heat
s1-05	s1	retro	2024	foil	hard-evidence	Hard Evidence
s1-06	s1	retro	2024	foil	hard-evidence	Hard Evidence
s1-08	s1	retro	2024	foil	brainsurge	Brainsurge
s1-09	s1	retro	2024	foil	abiding-grace	Abiding Grace
s1-11	s1	retro	2003	foil	trap-digger	Trap Digger
s1-12	s1	retro	2024	foil	brainsurge	Brainsurge
s1-13	s1	retro	2003	foil	consuming-corruption	Consuming Corruption
s1-15	s1	retro	2024	foil	lion-umbra	Lion Umbra
s1-17	s1	retro	2024	foil	charitable-levy	Charitable Levy
s1-19	s1	retro	2003	foil	victimize	Victimize
s1-21	s1	retro	2021	foil	unstable-amulet	Unstable Amulet
s1-22	s1	retro	2024	foil	primal-prayers	Primal Prayers
s2-01	s2	retro	2003	foil	glowrider	Glowrider
s2-03	s2	retro	2024	foil	unholy-heat	Unholy Heat
s2-05	s2	retro	2004	nonfoil	myr-servitor	Myr Servitor
s2-07	s2	retro	2004	nonfoil	no-dachi	No-Dachi
s2-11	s2	retro	2004	nonfoil	guardian-idol	Guardian Idol
s2-13	s2	retro	2004	nonfoil	no-dachi	No-Dachi
s2-15	s2	retro	2003	nonfoil	root-elemental	Root Elemental
s2-17	s2	retro	2024	foil	hard-evidence	Hard Evidence
s2-19	s2	retro	2024	foil	brainsurge	Brainsurge
s2-21	s2	retro	2003	foil	trap-digger	Trap Digger
s2-23	s2	retro	2024	foil	abiding-grace	Abiding Grace
s2-25	s2	retro	2024	foil	primal-prayers	Primal Prayers
s2-27	s2	retro	2021	foil	unstable-amulet	Unstable Amulet
s2-29	s2	retro	2003	nonfoil	primal-whisperer	Primal Whisperer
s2-31	s2	retro	2003	nonfoil	vexing-beetle	Vexing Beetle
s2-33	s2	retro	2003	foil	victimize	Victimize
s2-35	s2	retro	2024	foil	lion-umbra	Lion Umbra
s2-37	s2	retro	2003	foil	consuming-corruption	Consuming Corruption
s2-39	s2	retro	2024	foil	brainsurge	Brainsurge
s2-41	s2	retro	2003	nonfoil	hunter-sliver	Hunter Sliver
s2-43	s2	retro	2003	nonfoil	frenetic-raptor	Frenetic Raptor
s2-45	s2	retro	2024	foil	charitable-levy	Charitable Levy
s2-47	s2	retro	2003	nonfoil	deathmark-prelate	Deathmark Prelate
s2-49	s2	retro	2003	nonfoil	slith-predator	Slith Predator
s2-50	s2	retro	2003	nonfoil	slith-predator	Slith Predator
s2-51	s2	retro	-	nonfoil	unknown-51	unreadable
s2-52	s2	retro	2003	nonfoil	hunter-sliver	Hunter Sliver
s2-54	s2	retro	2001	nonfoil	frenetic-ogre	Frenetic Ogre
s2-56	s2	retro	2003	nonfoil	skirk-volcanist	Skirk Volcanist
s2-58	s2	retro	2003	nonfoil	rain-of-rust	Rain of Rust
s2-60	s2	retro	2006	nonfoil	scorched-rusalka	Scorched Rusalka
s2-62	s2	modern	2014	foil	rattleclaw-mystic	Rattleclaw Mystic
s2-64	s2	modern	2015	foil	shamanic-revelation	Shamanic Revelation
s2-66	s2	modern	2018	foil	impervious-greatwurm	Impervious Greatwurm
s2-68	s2	modern	2015	foil	soulflayer	Soulflayer
s2-70	s2	modern	2017	foil	kopala	Kopala, Warden of Waves
