id	session	still	finish	physical	read_name
s5-01	s5	remote-still-1786074608912.jpg	nonfoil	hollow-specter	hollow Specter
s5-02	s5	remote-still-1786074612531.jpg	nonfoil	kalastria-highborn	Kalastria Highborn
s5-03	s5	remote-still-1786074618275.jpg	nonfoil	slithering-shade	Slithering Shade
s5-04	s5	remote-still-1786074622496.jpg	nonfoil	patron-of-the-wild	Patron of the Wild
s5-05	s5	remote-still-1786074627749.jpg	nonfoil	reap-what-is-sown	Reap What Is Sown
s5-06	s5	remote-still-1786074632483.jpg	nonfoil	ornithopter	Ornithopter
s5-07	s5	remote-still-1786074636301.jpg	nonfoil	ghastly-remains	Ghastly Remains
s5-08	s5	remote-still-1786074639988.jpg	nonfoil	frenetic-raptor	Erenetic Raptor
s5-09	s5	remote-still-1786074643472.jpg	nonfoil	root-elemental	Root Clemental
s5-10	s5	remote-still-1786074644134.jpg	nonfoil	root-elemental	Root Elemental
s5-11	s5	remote-still-1786074647146.jpg	foil	dress-down	Dress Down
s5-12	s5	remote-still-1786074647916.jpg	foil	dress-down	Dress Down
s5-13	s5	remote-still-1786074651981.jpg	foil	unholy-heat	Unholy heat
s5-14	s5	remote-still-1786074655111.jpg	foil	unholy-heat	Unholy heat
s5-15	s5	remote-still-1786074655871.jpg	foil	unholy-heat	Unholy heat
s5-16	s5	remote-still-1786074658499.jpg	foil	brainsurge	Brainsurge
s5-17	s5	remote-still-1786074659223.jpg	foil	brainsurge	Brainsurge
s5-18	s5	remote-still-1786074663685.jpg	foil	abiding-grace	Albiding, Srace
s5-19	s5	remote-still-1786074669105.jpg	foil	primal-prayers	Primal Prayers
s5-20	s5	remote-still-1786074685936.jpg	foil	meltdown	Meltdown
s5-21	s5	remote-still-1786074691413.jpg	foil	victimize	Victimize
s5-22	s5	remote-still-1786074694849.jpg	foil	consuming-corruption	Consuming Corruption
s5-23	s5	remote-still-1786074698568.jpg	foil	unstable-amulet	Unstable Amulet
s5-24	s5	remote-still-1786074701648.jpg	foil	unstable-amulet	Unstable Amulet
s5-25	s5	remote-still-1786074705131.jpg	foil	brainsurge	Brainsurge
s5-26	s5	remote-still-1786074705897.jpg	foil	brainsurge	Brainsurge
s5-27	s5	remote-still-1786074710712.jpg	foil	lion-umbra	Lion Umbra
s5-28	s5	remote-still-1786074716631.jpg	foil	charitable-levy	Charicable Levy
s5-29	s5	remote-still-1786074720839.jpg	foil	charitable-levy	Charitable Levy
s5-30	s5	remote-still-1786074726340.jpg	foil	hard-evidence	hard Evidence
s5-31	s5	remote-still-1786074726941.jpg	foil	hard-evidence	hard Evidence
s5-32	s5	remote-still-1786074731132.jpg	foil	trap-digger	Trap Digger
s5-33	s5	remote-still-1786074736818.jpg	foil	glowrider	Glowrider
s5-34	s5	remote-still-1786074737637.jpg	foil	glowrider	Glowrider
s5-35	s5	remote-still-1786074740323.jpg	foil	glowrider	Glowrider
s5-36	s5	remote-still-1786074741183.jpg	foil	glowrider	Glowrider
s5-37	s5	remote-still-1786074742349.jpg	foil	glowrider	srider
s5-38	s5	remote-still-1786074745205.jpg	foil	glowrider	Glowrider
s5-39	s5	remote-still-1786074748155.jpg	foil	glowrider	Glowrider
